method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem1,670.0,0.6,1.577778,3.555556,0.3333333,53678.12224362952,44257.79326342031
Morris,CMA,Problem1,670.0,0.6,1.577778,3.555556,0.8888889,65079.6850252468,52130.70720821969
Morris,CMA,Problem1,670.0,0.6,2.0,0.0,0.0,78411.50987972187,38689.70769189551
Morris,CMA,Problem1,670.0,0.6,2.0,0.0,0.5555556,66314.52487857711,37482.97404872475
Morris,CMA,Problem1,670.0,0.6,2.0,2.222222,0.5555556,66319.28393899629,57473.1302415031
Morris,CMA,Problem1,670.0,0.7,1.577778,1.333333,0.2222222,65873.09700088837,52545.08884430855
Morris,CMA,Problem1,670.0,0.8,0.1,0.0,0.1111111,98417.96420750741,12545.73162671516
Morris,CMA,Problem1,670.0,0.8,0.7333333,4.0,0.6666667,68046.82188590766,45796.018526977474
Morris,CMA,Problem1,670.0,0.9,0.5222222,3.555556,0.6666667,66800.66297565357,40598.63548969121
Morris,CMA,Problem1,670.0,0.9,2.0,2.222222,0.4444444,64045.093788216276,49214.1461695368
Morris,CMA,Problem1,670.0,0.9,2.0,2.222222,1.0,59446.38257714002,45911.96376675097
Morris,CMA,Problem1,670.0,1.0,0.5222222,4.0,0.7777778,66606.56419148529,36146.06177374769
Morris,CMA,Problem1,670.0,1.0,1.155556,0.4444444,0.4444444,83449.6805911663,25250.321467282556
Morris,CMA,Problem1,670.0,1.0,1.366667,3.555556,0.1111111,53495.71428786554,35713.39882284004
Morris,CMA,Problem1,780.0,0.1,0.7333333,1.777778,0.1111111,56394.58179094929,47907.92348867844
Morris,CMA,Problem1,780.0,0.1,0.7333333,4.0,0.1111111,59579.057430302935,51940.44325187133
Morris,CMA,Problem1,780.0,0.1,0.7333333,4.0,0.6666667,62047.35403289688,54323.85588705188
Morris,CMA,Problem1,780.0,0.1,1.788889,1.777778,0.1111111,59150.26281739913,51296.77043637653
Morris,CMA,Problem1,780.0,0.2,0.7333333,1.333333,0.1111111,64875.52392304031,53201.80111072034
Morris,CMA,Problem1,780.0,0.2,0.7333333,1.333333,0.6666667,64521.98524449717,57461.41106265997
Morris,CMA,Problem1,780.0,0.2,0.7333333,3.555556,0.6666667,60983.45577796943,51110.898747055435
Morris,CMA,Problem1,780.0,0.2,1.155556,4.0,1.0,57761.91386424882,48661.750168666775
Morris,CMA,Problem1,780.0,0.2,1.366667,0.8888889,0.4444444,56818.38977555123,49403.499695989565
Morris,CMA,Problem1,780.0,0.2,1.577778,1.333333,0.2222222,57435.59743500063,50654.02767355659
Morris,CMA,Problem1,780.0,0.2,1.788889,3.555556,0.6666667,65863.8600212871,56316.538172660075
