method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem5,10,0.1,0.1,2.4,0.6,482313169
Morris,CMA,Problem5,10,0.46,0.48,1.6,0.4,440128351.9
Morris,CMA,Problem5,10,0.46,0.48,4,0.2,491033954.4
Morris,CMA,Problem5,10,0.46,0.48,4,0.4,489574047.9
Morris,CMA,Problem5,10,0.46,1.62,4,0.4,458093961.4
Morris,CMA,Problem5,10,0.46,1.62,4,1,436138121.5
Morris,CMA,Problem5,10,0.64,0.1,2.4,0.6,477097159.5
Morris,CMA,Problem5,10,1,0.48,1.6,0.2,420586096.7
Morris,CMA,Problem5,10,1,0.48,1.6,0.4,457393724.8
Morris,CMA,Problem5,10,1,0.48,1.6,0.8,432758711.7
Morris,CMA,Problem5,10,1,0.48,4,0.2,472256748.7
Morris,CMA,Problem5,10,1,1.62,1.6,0.8,470241975
Morris,CMA,Problem5,1000,0.1,0.1,0.8,0,455200803.7
Morris,CMA,Problem5,1000,0.1,0.1,0.8,0.6,428469520.8
Morris,CMA,Problem5,1000,0.1,0.1,3.2,0.6,436758673.8
Morris,CMA,Problem5,1000,0.1,0.86,0.8,0.2,483640556.6
Morris,CMA,Problem5,1000,0.1,1.24,3.2,0.6,485067725.7
Morris,CMA,Problem5,1000,0.1,2,0.8,0.2,454765545.8
Morris,CMA,Problem5,1000,0.1,2,3.2,0.2,436292756.5
Morris,CMA,Problem5,1000,0.1,2,3.2,0.8,438575976.5
Morris,CMA,Problem5,1000,0.46,0.1,4,0.6,448377742.9
Morris,CMA,Problem5,1000,1,0.1,4,0.6,489338705.4
Morris,CMA,Problem5,1000,1,1.24,4,0.6,452564282.7
Morris,CMA,Problem5,208,0.1,1.24,2.4,1,483224058.3
Morris,CMA,Problem5,208,0.28,0.86,1.6,0.6,470989507.7
Morris,CMA,Problem5,208,0.28,2,1.6,0.6,498951900.4
Morris,CMA,Problem5,208,0.28,2,3.2,0,439022812.2
Morris,CMA,Problem5,208,0.28,2,3.2,0.6,460612434.9
Morris,CMA,Problem5,208,0.82,0.86,1.6,0,430401960
Morris,CMA,Problem5,208,0.82,0.86,1.6,0.6,480526678.5
Morris,CMA,Problem5,208,0.82,0.86,4,0,492845640
Morris,CMA,Problem5,208,0.82,2,1.6,0.6,475820200.4
Morris,CMA,Problem5,406,0.1,0.86,0.8,0.2,440168126.9
Morris,CMA,Problem5,406,0.1,1.24,3.2,0.6,455417749.7
Morris,CMA,Problem5,406,0.64,0.86,0.8,0.2,476476317.1
Morris,CMA,Problem5,406,0.64,1.24,3.2,0.6,464219998.4
Morris,CMA,Problem5,406,1,1.24,1.6,0,504796649.3
Morris,CMA,Problem5,406,1,1.24,4,0,485520982.6
Morris,CMA,Problem5,406,1,1.24,4,0.6,467017253
Morris,CMA,Problem5,604,0.64,0.1,2.4,0,492032568.7
Morris,CMA,Problem5,604,0.64,0.1,2.4,0.6,471830037.7
Morris,CMA,Problem5,604,0.64,1.24,0,0,469386169.5
Morris,CMA,Problem5,604,0.64,1.24,2.4,0,472710691.8
Morris,CMA,Problem5,604,1,0.48,1.6,0.4,478740518.8
Morris,CMA,Problem5,604,1,1.62,1.6,0.8,451829972
Morris,CMA,Problem5,802,0.1,0.1,0,0.4,451798772.2
Morris,CMA,Problem5,802,0.1,1.24,0,0.4,464177733.3
Morris,CMA,Problem5,802,0.1,1.24,2.4,0.4,515617202.2
Morris,CMA,Problem5,802,0.1,1.24,2.4,1,438425113.7
Morris,CMA,Problem5,802,0.28,0.86,0.8,0.6,465745436.5
Morris,CMA,Problem5,802,0.28,2,0.8,0.6,446674398.6
Morris,CMA,Problem5,802,0.28,2,3.2,0.6,474654364.7
Morris,CMA,Problem5,802,0.64,0.1,0,0.4,496134039.3
Morris,CMA,Problem5,802,0.82,0.86,0.8,0.6,489090538.5
Morris,CMA,Problem5,802,0.82,0.86,1.6,0.6,471716687.8
Morris,CMA,Problem5,802,0.82,0.86,4,0,474646767.1
Morris,CMA,Problem5,802,0.82,0.86,4,0.6,499934671.6
Morris,CMA,Problem5,802,0.82,2,1.6,0.6,462617468.1
Morris,CMA,Problem5,802,0.82,2,4,0,465559514.5
Morris,CMA,Problem6,10,0.1,0.1,2.4,0.6,101836
Morris,CMA,Problem6,10,0.46,0.48,1.6,0.4,101680
Morris,CMA,Problem6,10,0.46,0.48,4,0.2,97881.73333
Morris,CMA,Problem6,10,0.46,0.48,4,0.4,101085.4333
Morris,CMA,Problem6,10,0.46,1.62,4,0.4,97256.6
Morris,CMA,Problem6,10,0.46,1.62,4,1,100106.8333
Morris,CMA,Problem6,10,0.64,0.1,2.4,0.6,99161.6
Morris,CMA,Problem6,10,1,0.48,1.6,0.2,97861.46667
Morris,CMA,Problem6,10,1,0.48,1.6,0.4,98017.13333
