method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,DTLZ2,3,198.1818,0.2636364,182,0.1,200,3.454545,0.3545455,0.007394807,0.043297693,0.065743518
Morris,MOEAD,DTLZ2,3,198.1818,0.2636364,182,0.1,92,3.454545,0.3545455,0.004651293,0.039313007,0.045127843
Morris,MOEAD,DTLZ2,3,198.1818,0.2636364,182,0.5909091,200,3.454545,0.3545455,0.003818499,0.026138052,0.038096617
Morris,MOEAD,DTLZ2,3,198.1818,0.2636364,74,0.1,92,3.454545,0.3545455,0.005022122,0.047268436,0.065807644
Morris,MOEAD,DTLZ2,3,198.1818,0.5090909,128,0.7545455,56,3.181818,0.3181818,0.001298619,0.011781115,0.012380865
Morris,MOEAD,DTLZ2,3,198.1818,0.5090909,56,0.1818182,182,3.181818,0.1,0.006754486,0.043220758,0.082238082
Morris,MOEAD,DTLZ2,3,198.1818,0.5090909,56,0.1818182,182,3.181818,0.3181818,0.004513177,0.03628513,0.048135811
Morris,MOEAD,DTLZ2,3,198.1818,0.6727273,2,0.9181818,2,2.090909,0.1,0.002739107,0.0059131,0.00889129
Morris,MOEAD,DTLZ2,3,198.1818,0.6727273,2,0.9181818,2,2.090909,0.3181818,0.001380329,0.002774557,0.004567922
Morris,MOEAD,DTLZ2,3,198.1818,0.7545455,74,0.1,92,1.818182,0.1363636,0.004069996,0.02358128,0.042838688
Morris,MOEAD,DTLZ2,3,198.1818,0.7545455,74,0.1,92,1.818182,0.3545455,0.003949255,0.027955692,0.049440662
Morris,MOEAD,DTLZ2,3,198.1818,0.7545455,74,0.1,92,3.454545,0.3545455,0.004910775,0.02302751,0.044187777
Morris,MOEAD,DTLZ2,3,198.1818,0.8363636,20,1,164,3.727273,0.2454545,0.003062939,0.018226372,0.030705506
Morris,MOEAD,DTLZ2,3,198.1818,0.8363636,20,1,56,3.727273,0.2454545,0.001327754,0.007339556,0.012510818
Morris,MOEAD,DTLZ2,3,198.1818,1,128,0.7545455,164,1.545455,0.3181818,0.002210613,0.024121433,0.031456437
Morris,MOEAD,DTLZ2,3,198.1818,1,128,0.7545455,164,3.181818,0.3181818,0.002208436,0.026195665,0.036115295
Morris,MOEAD,DTLZ2,3,198.1818,1,128,0.7545455,56,3.181818,0.3181818,0.000908569,0.009378207,0.010878927
Morris,MOEAD,DTLZ2,3,198.1818,1,20,0.2636364,164,1.545455,0.3181818,0.00570163,0.033497853,0.062026353
Morris,MOEAD,DTLZ2,3,198.1818,1,20,0.7545455,164,1.545455,0.3181818,0.003435609,0.016171205,0.030696885
Morris,MOEAD,DTLZ2,3,20,0.263636,92,0.345455,56,1.54545,0.427273,0.006304785,0.034473676,0.024234463
Morris,MOEAD,DTLZ2,3,20,0.2636364,92,0.3454545,164,1.545455,0.4272727,0.018208025,0.0401887,0.039359867
Morris,MOEAD,DTLZ2,3,20,0.2636364,92,0.3454545,164,3.181818,0.4272727,0.02047132,0.079435783,0.055734122
Morris,MOEAD,DTLZ2,3,20,0.4272727,200,0.7545455,110,4,0.1,0.032123913,0.05028002,0.034549976
Morris,MOEAD,DTLZ2,3,20,0.4272727,92,0.7545455,110,4,0.1,0.035905526,0.070469031,0.041277791
Morris,MOEAD,DTLZ2,3,20,0.427273,92,0.263636,2,2.36364,0.318182,0.002921283,0.00931534,0.005941288
Morris,MOEAD,DTLZ2,3,20,0.427273,92,0.263636,2,4,0.1,0.011124741,0.016063023,0.021907466
Morris,MOEAD,DTLZ2,3,20,0.427273,92,0.263636,2,4,0.318182,0.002158991,0.013575857,0.016182277
Morris,MOEAD,DTLZ2,3,20,0.427273,92,0.754545,2,4,0.1,0.007116802,0.014462863,0.021457021
Morris,MOEAD,DTLZ2,3,20,0.5909091,128,0.1,74,3.181818,0.3909091,0.018044444,0.071916044,0.048677211
Morris,MOEAD,DTLZ2,3,20,0.5909091,128,0.5909091,182,1.545455,0.3909091,0.009927433,0.04615076,0.030092753
Morris,MOEAD,DTLZ2,3,20,0.5909091,128,0.5909091,182,3.181818,0.3909091,0.014722289,0.092151063,0.044338628
Morris,MOEAD,DTLZ2,3,20,0.5909091,128,0.5909091,74,3.181818,0.3909091,0.003657069,0.049993078,0.026881443
Morris,MOEAD,DTLZ2,3,20,0.5909091,20,0.5909091,182,1.545455,0.1727273,0.012161252,0.060769474,0.046994037
Morris,MOEAD,DTLZ2,3,20,0.5909091,20,0.5909091,182,1.545455,0.3909091,0.011976945,0.055498088,0.042655424
Morris,MOEAD,DTLZ2,3,20,0.754545,92,0.345455,56,1.54545,0.427273,0.003919416,0.076615303,0.047714079
Morris,MOEAD,DTLZ2,3,20,0.754545,92,0.836364,56,1.54545,0.427273,0.002506925,0.014011608,0.012310198
Morris,MOEAD,DTLZ2,3,20,0.7545455,200,0.8363636,56,1.545455,0.4272727,0.002500131,0.026287438,0.016842723
