method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,DTLZ1,3,821.8182,0.1,146,0.5909091,128,4.909091,35.1089397,17.02562435,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.1,38,0.1,128,4.909091,35.1523716,13.01207442,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.2636364,74,0.4272727,56,4.181818,32.45822779,14.61618042,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.2636364,74,0.9181818,56,4.181818,31.6007267,11.412279,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.3454545,20,1,200,8.545455,32.54435547,11.58660278,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.3454545,20,1,92,4.181818,30.35712272,11.55054963,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.3454545,20,1,92,8.545455,31.62858274,10.62781856,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.4272727,110,0.3454545,200,7.818182,31.26727898,11.03968685,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.4272727,110,0.3454545,92,7.818182,31.29105552,11.44828514,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.4272727,182,0.5090909,20,6.363636,31.19491692,11.75846459,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.4272727,2,0.3454545,200,7.818182,30.24344784,9.024598772,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.4272727,2,0.8363636,200,3.454545,29.39199081,12.97900169,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.4272727,2,0.8363636,200,7.818182,30.2100738,11.93316777,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.5090909,146,0.6727273,56,3.454545,29.44556462,9.427509347,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.5909091,38,0.1,128,4.909091,29.64333433,10.16057405,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.5909091,38,0.1,20,4.909091,29.05503094,8.632349529,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.5909091,38,0.1,20,9.272727,29.77563266,11.22694302,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.7545455,182,0.4272727,164,4.181818,28.70549542,12.14323821,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.7545455,182,0.4272727,164,8.545455,29.1479811,9.638921144,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.7545455,182,0.4272727,56,4.181818,28.83367272,9.129942262,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.7545455,74,0.4272727,56,4.181818,28.00685178,8.955917399,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.8363636,128,1,200,8.545455,28.26617743,9.415139884,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.8363636,20,1,200,8.545455,28.69414082,9.086803366,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.9181818,146,0.1818182,56,6.363636,28.37930407,9.539345958,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.9181818,182,0.5090909,20,6.363636,28.17517392,10.64040381,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.9181818,38,0.1818182,56,6.363636,27.26669942,10.95075452,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.9181818,38,0.6727273,56,6.363636,27.85475479,9.386281231,0
Morris,NSGAIII,DTLZ1,3,821.8182,1,146,0.6727273,56,3.454545,27.39779456,8.31925441,0
Morris,NSGAIII,DTLZ1,3,821.8182,1,38,0.1818182,164,3.454545,26.57404508,8.352432615,0
Morris,NSGAIII,DTLZ1,3,821.8182,1,38,0.1818182,164,7.818182,27.33776549,10.41105384,0
Morris,NSGAIII,DTLZ1,3,821.8182,1,38,0.6727273,164,3.454545,27.27331481,8.193966129,0
Morris,NSGAIII,DTLZ1,3,821.8182,1,38,0.6727273,56,3.454545,27.15828743,8.048655187,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.2636364,200,0.2636364,20,3.454545,32.03411748,10.38253648,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.2636364,92,0.2636364,20,3.454545,32.98999936,12.15688829,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.4272727,92,0.1,164,4.181818,30.86789031,10.80578705,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.4272727,92,0.1,56,4.181818,31.51272307,10.08383353,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.9181818,200,0.5909091,164,4.181818,28.81692536,11.15258168,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.9181818,92,0.1,164,4.181818,27.85509342,11.1090032,0
Morris,NSGAIII,DTLZ1,3,910.9091,0.9181818,92,0.5909091,164,4.181818,27.98067621,8.3936852,0
Morris,NSGAIII,DTLZ2,3,1000,0.1,110,0.1,164,3.4545455,0.039445108,0.015445207,0.017265717
